,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
1148,0,management,married,tertiary,no,1,no,no,cellular,1,nov,0,1,1,1,failure,no
1149,1,blue-collar,married,secondary,no,1,yes,no,telephone,0,jul,1,1,1,1,failure,no
1150,0,technician,single,secondary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
1151,1,entrepreneur,divorced,tertiary,no,0,no,yes,cellular,0,jun,0,0,1,1,failure,no
1152,0,blue-collar,married,primary,no,0,no,no,cellular,0,jun,0,0,1,1,failure,no
1153,1,management,married,tertiary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1154,1,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,0,0,1,1,failure,no
1155,1,blue-collar,married,secondary,no,1,no,no,cellular,1,jun,0,1,1,1,failure,no
1156,1,retired,married,tertiary,no,1,no,no,telephone,0,mar,1,0,1,1,failure,yes
1157,0,blue-collar,married,primary,no,1,yes,no,cellular,1,may,1,0,1,1,failure,no
1158,0,blue-collar,single,secondary,no,1,no,no,cellular,0,may,1,1,1,1,failure,no
1159,1,retired,divorced,tertiary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1160,0,technician,married,secondary,no,1,yes,no,cellular,0,may,0,1,1,1,failure,no
1161,1,management,married,tertiary,no,1,yes,yes,cellular,1,nov,1,0,1,1,failure,no
1162,1,management,divorced,tertiary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
1163,0,self-employed,single,tertiary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
1164,1,blue-collar,married,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1165,0,services,single,tertiary,no,1,yes,yes,cellular,1,may,1,0,1,1,failure,no
1166,1,admin.,married,secondary,no,0,yes,no,cellular,0,jul,1,0,1,1,failure,no
1167,0,management,single,tertiary,no,0,no,no,cellular,1,apr,0,1,1,1,failure,no
1168,1,retired,married,secondary,no,1,no,no,cellular,0,sep,1,0,1,1,other,no
1169,0,technician,single,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
1170,1,technician,married,tertiary,no,1,yes,no,cellular,0,may,0,0,1,1,failure,no
1171,1,housemaid,married,primary,no,0,yes,yes,cellular,0,jul,0,1,1,1,failure,no
1172,0,services,single,secondary,no,1,no,no,cellular,1,nov,1,1,1,1,failure,no
1173,1,retired,married,tertiary,no,0,yes,yes,cellular,0,may,1,1,1,1,other,yes
1174,1,services,married,secondary,no,1,yes,no,cellular,1,jun,0,1,1,1,failure,no
1175,0,student,single,tertiary,no,0,no,no,cellular,0,aug,0,1,1,1,other,no
1176,1,management,married,tertiary,no,0,yes,no,cellular,0,jun,0,1,1,1,failure,no
1177,1,retired,married,secondary,no,0,no,no,cellular,1,aug,1,1,1,1,failure,yes
1178,0,management,single,tertiary,no,1,no,no,cellular,1,aug,1,1,1,1,failure,yes
1179,0,blue-collar,married,secondary,no,1,no,no,cellular,1,oct,1,0,1,1,failure,yes
1180,1,blue-collar,married,secondary,yes,0,yes,no,cellular,1,jun,1,1,1,1,failure,no
1181,0,admin.,single,secondary,no,0,no,no,cellular,1,may,1,1,1,1,failure,no
1182,1,technician,married,secondary,no,0,no,no,cellular,0,jun,1,0,1,1,success,yes
1183,0,management,married,tertiary,no,1,yes,no,telephone,0,aug,0,1,1,1,failure,no
1184,0,technician,single,secondary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
1185,0,management,married,tertiary,no,0,no,no,cellular,1,jan,1,1,1,1,failure,no
1186,1,management,married,tertiary,no,1,yes,no,cellular,1,jun,0,1,1,1,failure,no
1187,1,management,single,tertiary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
1188,1,services,married,secondary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
1189,1,services,single,secondary,no,1,yes,yes,cellular,1,apr,1,0,1,1,failure,no
1190,0,blue-collar,single,secondary,yes,0,yes,yes,cellular,0,jun,0,1,1,1,failure,no
1191,1,technician,single,tertiary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1192,1,blue-collar,divorced,primary,no,0,no,no,cellular,1,nov,1,1,1,1,failure,no
1193,0,management,single,tertiary,no,1,yes,no,cellular,1,may,0,0,1,1,failure,no
1194,0,self-employed,married,secondary,no,0,no,no,cellular,0,mar,1,1,1,1,failure,yes
1195,0,management,married,tertiary,no,0,no,no,cellular,1,nov,1,1,1,1,failure,yes
1196,0,management,single,tertiary,no,0,yes,no,cellular,0,jun,0,0,1,1,failure,no
1197,0,housemaid,single,tertiary,no,1,yes,no,cellular,0,feb,0,1,1,1,failure,no
1198,1,services,married,secondary,no,1,no,yes,cellular,1,feb,1,0,1,1,failure,yes
1199,0,admin.,divorced,secondary,no,0,yes,no,cellular,1,jan,1,1,1,1,failure,yes
1200,0,admin.,married,secondary,no,0,yes,no,cellular,0,jun,1,1,1,1,failure,yes
1201,0,blue-collar,married,primary,no,1,no,no,cellular,1,jan,1,0,1,1,failure,yes
1202,0,management,married,tertiary,no,0,yes,no,cellular,1,jan,0,0,1,1,failure,no
1203,0,admin.,divorced,secondary,no,1,yes,no,cellular,1,may,1,1,1,1,failure,no
1204,0,technician,married,secondary,no,1,yes,no,cellular,1,may,0,0,1,1,failure,no
1205,1,blue-collar,married,secondary,no,0,no,no,cellular,1,jun,0,0,1,1,failure,no
1206,1,technician,single,secondary,no,0,no,no,cellular,0,jul,1,0,1,1,failure,no
1207,0,blue-collar,married,primary,no,1,yes,yes,cellular,1,nov,1,0,1,1,failure,no
1208,1,technician,single,tertiary,no,0,no,no,cellular,1,aug,1,0,1,1,failure,no
1209,0,entrepreneur,married,secondary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1210,1,management,married,tertiary,no,1,no,no,cellular,0,jun,1,0,1,1,failure,no
1211,1,management,married,tertiary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
1212,0,entrepreneur,single,secondary,no,0,no,no,telephone,0,nov,0,0,1,1,failure,yes
1213,1,blue-collar,married,secondary,no,0,no,yes,cellular,0,jul,0,0,1,1,failure,no
1214,1,management,married,tertiary,no,0,no,no,telephone,1,jul,1,1,1,1,failure,no
1215,0,management,single,tertiary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
1216,1,blue-collar,married,primary,yes,0,no,yes,cellular,0,jul,1,0,1,1,failure,no
1217,1,management,married,secondary,no,1,no,no,cellular,0,aug,0,1,1,1,failure,no
1218,0,unemployed,married,secondary,no,1,no,no,cellular,1,mar,0,0,1,1,failure,yes
1219,1,management,married,tertiary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1220,1,management,married,tertiary,no,1,yes,no,cellular,0,may,0,1,1,1,failure,no
1221,1,admin.,divorced,secondary,no,1,no,no,cellular,1,jul,1,1,1,1,failure,no
1222,0,admin.,divorced,secondary,no,0,yes,yes,cellular,1,may,1,1,1,1,failure,no
1223,0,services,married,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1224,0,admin.,single,secondary,no,0,no,no,cellular,0,jul,1,1,1,1,failure,yes
1225,0,management,single,tertiary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1226,1,management,married,tertiary,no,0,no,no,cellular,0,jun,1,0,1,1,failure,yes
1227,0,management,single,tertiary,no,1,no,no,cellular,0,feb,1,0,1,1,failure,no
1228,1,retired,divorced,primary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
1229,0,admin.,single,secondary,no,1,yes,no,cellular,0,apr,1,0,1,1,failure,no
1230,0,management,married,tertiary,no,0,yes,yes,cellular,0,jul,0,1,1,1,failure,no
1231,0,management,single,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
1232,1,admin.,divorced,secondary,no,0,yes,no,cellular,0,jul,0,1,1,1,failure,no
1233,1,admin.,married,secondary,no,1,yes,no,cellular,1,nov,0,1,1,1,failure,no
1234,1,blue-collar,married,primary,no,1,no,no,telephone,1,nov,0,1,1,1,failure,no
1235,1,management,married,primary,no,1,no,no,cellular,1,apr,0,1,1,1,failure,no
1236,1,management,married,secondary,no,1,no,yes,cellular,0,jul,1,0,1,1,failure,no
1237,0,technician,divorced,secondary,no,0,no,no,cellular,1,aug,1,1,1,1,failure,no
1238,1,services,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1239,0,self-employed,married,secondary,no,0,no,no,cellular,0,jun,1,1,1,1,failure,no
1240,0,student,single,tertiary,no,0,no,no,telephone,0,may,0,1,1,1,failure,no
1241,1,management,married,primary,no,1,yes,no,telephone,0,feb,0,0,1,1,failure,no
1242,0,services,divorced,primary,no,1,yes,no,cellular,0,may,1,0,1,1,success,yes
1243,1,retired,married,tertiary,no,1,no,no,cellular,0,may,1,1,1,1,failure,no
1244,0,blue-collar,divorced,primary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1245,0,unemployed,single,secondary,no,0,no,no,cellular,1,jan,1,0,1,1,failure,no
1246,0,unemployed,married,secondary,no,1,no,no,cellular,0,may,1,1,1,1,failure,no
1247,0,technician,single,tertiary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
1248,0,services,married,secondary,no,1,yes,no,cellular,1,jul,1,1,1,1,failure,no
1249,0,unemployed,single,tertiary,no,0,yes,no,cellular,0,feb,0,1,1,1,other,no
1250,1,technician,single,secondary,no,0,yes,no,cellular,0,jun,0,1,1,1,failure,no
1251,1,blue-collar,married,secondary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
1252,0,admin.,married,secondary,no,1,yes,no,cellular,1,nov,1,0,1,1,failure,no
1253,1,technician,married,secondary,no,1,no,no,cellular,1,jul,0,0,1,1,failure,no
1254,0,management,divorced,tertiary,no,0,no,yes,cellular,1,nov,1,0,1,1,failure,yes
1255,1,self-employed,married,tertiary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1256,0,technician,married,secondary,no,1,yes,yes,cellular,0,aug,1,1,1,1,failure,no
1257,1,management,single,tertiary,no,1,no,no,cellular,1,jul,1,1,1,1,failure,no
1258,1,blue-collar,married,primary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1259,1,self-employed,married,tertiary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1260,0,admin.,divorced,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1261,0,self-employed,single,tertiary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1262,1,blue-collar,married,primary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1263,1,retired,divorced,secondary,no,1,no,yes,cellular,1,nov,0,1,1,1,success,no
1264,1,services,married,secondary,no,0,no,yes,cellular,0,aug,1,1,1,1,failure,no
1265,0,blue-collar,single,secondary,no,0,no,yes,cellular,1,jul,1,1,1,1,failure,no
1266,1,blue-collar,single,secondary,no,0,yes,yes,cellular,1,jan,0,1,1,1,other,no
1267,0,services,married,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1268,1,blue-collar,married,primary,no,1,yes,no,telephone,0,may,0,0,1,1,other,no
1269,0,housemaid,married,tertiary,no,1,yes,no,cellular,1,may,1,0,1,1,failure,no
1270,0,blue-collar,divorced,primary,no,0,no,no,cellular,0,jun,1,0,1,1,failure,no
1271,1,blue-collar,married,primary,no,0,no,no,telephone,0,aug,1,0,1,1,failure,no
1272,1,management,married,tertiary,no,0,no,no,cellular,0,jun,1,0,1,1,failure,no
1273,1,services,divorced,secondary,no,0,yes,no,cellular,0,feb,0,1,1,1,failure,no
1274,0,blue-collar,married,secondary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
1275,1,management,married,tertiary,no,1,no,no,cellular,1,jul,0,1,1,1,failure,no
1276,0,admin.,married,secondary,no,0,no,no,cellular,0,jan,1,1,1,1,failure,yes
1277,0,services,married,secondary,no,1,yes,yes,cellular,0,feb,0,0,1,1,failure,no
1278,1,management,married,tertiary,no,1,yes,no,cellular,1,jun,1,1,1,1,failure,no
1279,0,management,single,tertiary,no,0,no,yes,telephone,0,jul,0,0,1,1,failure,no
1280,1,retired,married,secondary,no,1,no,no,cellular,1,oct,0,1,1,1,failure,no
1281,1,technician,married,secondary,no,1,no,no,cellular,0,aug,0,1,1,1,failure,no
1282,1,admin.,divorced,secondary,no,1,no,no,cellular,1,jan,1,0,1,1,failure,yes
1283,1,management,married,tertiary,no,0,no,no,cellular,0,aug,1,1,1,1,failure,no
1284,0,technician,married,secondary,no,1,yes,no,cellular,1,nov,1,1,1,1,failure,no
1285,0,technician,single,secondary,no,1,no,yes,telephone,0,jul,0,0,1,1,failure,no
1286,0,blue-collar,married,secondary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
1287,1,blue-collar,married,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
1288,0,management,divorced,tertiary,no,1,yes,no,cellular,1,may,1,0,1,1,failure,no
1289,0,technician,married,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
1290,0,blue-collar,single,tertiary,no,1,no,no,cellular,1,apr,0,0,1,1,success,yes
1291,1,admin.,married,secondary,no,0,yes,yes,cellular,0,may,1,1,1,1,failure,no
1292,0,blue-collar,single,secondary,no,0,yes,no,cellular,0,feb,1,0,1,1,failure,no
1293,0,admin.,single,secondary,no,0,yes,no,cellular,1,nov,1,0,1,1,failure,yes
1294,0,management,single,secondary,no,1,no,yes,cellular,0,feb,1,1,1,1,failure,no
1295,0,technician,single,secondary,no,1,yes,no,cellular,0,aug,0,1,1,1,failure,no
1296,0,housemaid,married,tertiary,no,1,yes,no,cellular,0,jun,1,1,1,1,failure,no
1297,0,technician,married,secondary,no,1,no,no,telephone,0,feb,0,1,1,1,failure,no
1298,0,services,married,secondary,no,1,yes,no,cellular,1,nov,1,1,1,1,failure,no
1299,1,technician,married,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1300,1,blue-collar,married,secondary,no,1,no,no,cellular,0,jun,0,1,1,1,failure,no
1301,1,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1302,0,admin.,single,secondary,no,1,no,no,cellular,0,jul,1,1,1,1,failure,no
1303,1,management,married,tertiary,no,1,no,no,cellular,1,nov,0,1,1,1,failure,no
1304,1,entrepreneur,married,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1305,1,blue-collar,married,secondary,yes,0,no,no,cellular,0,jun,0,0,1,1,failure,no
1306,1,services,single,secondary,no,0,no,no,cellular,0,may,0,0,1,1,failure,no
1307,0,management,single,tertiary,no,0,no,no,cellular,1,jan,1,1,1,1,failure,no
1308,1,unemployed,married,secondary,no,1,no,no,cellular,1,jun,0,0,1,1,failure,no
1309,0,management,married,tertiary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1310,1,self-employed,single,primary,no,1,yes,no,cellular,1,nov,0,1,1,1,failure,no
1311,0,services,single,secondary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
1312,1,services,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1313,1,blue-collar,married,secondary,no,0,yes,yes,cellular,0,may,0,1,1,1,failure,no
1314,1,retired,married,secondary,yes,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1315,0,blue-collar,married,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1316,1,entrepreneur,married,secondary,no,1,yes,no,cellular,0,may,0,1,1,1,failure,no
1317,1,blue-collar,divorced,primary,no,1,no,no,cellular,1,jul,0,1,1,1,failure,no
1318,0,blue-collar,married,secondary,no,1,no,no,cellular,0,may,1,1,1,1,failure,no
1319,1,services,married,secondary,no,1,yes,yes,cellular,0,may,1,0,1,1,failure,no
1320,1,retired,married,secondary,no,1,no,no,telephone,1,jul,1,0,1,1,success,yes
1321,1,blue-collar,married,secondary,no,1,yes,no,cellular,1,nov,1,1,1,1,failure,no
1322,1,management,married,tertiary,no,1,no,no,cellular,0,jun,0,0,1,1,failure,no
1323,0,technician,single,tertiary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
1324,1,technician,divorced,tertiary,no,1,yes,no,telephone,0,may,1,0,1,1,failure,no
1325,0,management,single,tertiary,no,0,no,no,cellular,0,aug,0,0,1,1,failure,no
1326,1,services,married,secondary,no,1,yes,no,cellular,0,aug,0,1,1,1,failure,no
1327,0,management,married,secondary,no,1,no,no,cellular,1,nov,0,0,1,1,failure,no
1328,1,technician,married,secondary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1329,0,blue-collar,married,secondary,no,1,yes,yes,cellular,0,apr,1,0,1,1,failure,no
1330,0,management,divorced,tertiary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,yes
1331,0,entrepreneur,married,tertiary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
1332,1,retired,married,secondary,no,1,no,no,cellular,1,jun,0,1,1,1,failure,no
1333,0,unemployed,single,tertiary,no,1,yes,no,cellular,0,feb,0,0,1,1,failure,no
1334,0,admin.,married,secondary,no,0,yes,yes,cellular,1,may,0,0,1,1,failure,no
1335,0,blue-collar,single,primary,no,0,no,no,cellular,0,jun,0,1,1,1,failure,no
1336,0,services,divorced,secondary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
1337,0,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1338,1,services,married,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
1339,1,technician,single,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1340,1,technician,married,secondary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
1341,0,admin.,single,secondary,no,1,yes,yes,cellular,1,may,1,0,1,1,failure,no
1342,1,blue-collar,married,secondary,no,1,no,no,cellular,0,aug,0,1,1,1,failure,no
1343,1,retired,married,secondary,no,0,no,no,cellular,1,jun,0,0,1,1,failure,no
1344,0,management,single,tertiary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
1345,1,housemaid,married,tertiary,no,1,no,no,cellular,0,jun,1,1,1,1,failure,no
1346,1,self-employed,married,secondary,no,0,no,no,cellular,0,may,0,1,1,1,failure,no
1347,0,services,married,secondary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
1348,0,management,single,tertiary,no,1,yes,no,cellular,1,may,1,1,1,1,failure,yes
1349,1,management,divorced,tertiary,no,0,no,yes,cellular,1,jul,0,1,1,1,failure,no
1350,1,blue-collar,married,secondary,no,0,no,no,cellular,1,jun,0,1,1,1,failure,no
1351,0,blue-collar,married,secondary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
1352,1,technician,married,secondary,no,0,no,no,cellular,1,jul,0,0,1,1,failure,no
1353,1,unemployed,single,tertiary,no,1,no,no,cellular,0,jun,1,0,1,1,failure,yes
1354,1,housemaid,married,primary,no,1,no,no,telephone,0,aug,1,1,1,1,failure,no
1355,0,technician,single,secondary,no,0,no,yes,cellular,0,aug,0,1,1,1,failure,no
1356,0,management,single,tertiary,no,0,yes,no,cellular,1,jul,1,0,1,1,failure,no
1357,1,blue-collar,married,secondary,no,1,yes,no,cellular,1,jan,1,1,1,1,failure,no
1358,1,entrepreneur,married,secondary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
1359,1,admin.,married,secondary,no,0,yes,yes,cellular,0,jun,1,1,1,1,failure,no
1360,1,self-employed,married,tertiary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1361,1,admin.,divorced,secondary,no,0,no,no,cellular,0,apr,1,0,1,1,failure,yes
1362,0,technician,single,tertiary,no,1,no,no,cellular,0,aug,0,1,1,1,failure,no
1363,1,admin.,married,secondary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
1364,0,admin.,divorced,tertiary,no,1,no,no,cellular,0,dec,1,0,1,1,failure,yes
1365,1,entrepreneur,married,tertiary,no,0,no,no,cellular,0,may,1,1,1,1,failure,no
1366,1,blue-collar,married,secondary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1367,0,blue-collar,single,secondary,no,1,no,no,cellular,1,may,0,1,1,1,failure,no
1368,0,blue-collar,married,primary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1369,1,services,married,secondary,no,0,no,no,cellular,0,jun,0,0,1,1,failure,no
1370,0,blue-collar,married,secondary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1371,1,blue-collar,married,primary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1372,0,blue-collar,married,primary,no,1,yes,no,cellular,1,nov,1,0,1,1,failure,no
1373,0,student,single,secondary,no,1,no,no,cellular,0,sep,1,0,1,1,failure,no
1374,0,management,divorced,tertiary,no,1,yes,no,cellular,0,may,0,1,1,1,failure,no
1375,1,retired,married,secondary,no,1,no,yes,cellular,0,jun,0,0,1,1,failure,no
1376,1,blue-collar,married,primary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
1377,0,technician,married,tertiary,no,1,no,no,cellular,0,jan,1,1,1,1,failure,yes
1378,0,technician,married,secondary,no,0,yes,no,cellular,0,aug,0,1,1,1,failure,no
1379,0,housemaid,divorced,secondary,no,0,yes,no,cellular,0,apr,1,1,1,1,failure,no
1380,1,admin.,married,secondary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
1381,0,technician,single,secondary,no,0,no,yes,cellular,0,aug,0,1,1,1,failure,no
1382,0,admin.,married,secondary,no,1,no,no,cellular,0,oct,1,1,1,1,success,yes
1383,1,retired,married,primary,no,1,no,yes,cellular,1,jun,0,1,1,1,failure,no
1384,1,admin.,married,primary,no,1,yes,no,cellular,0,feb,0,0,1,1,other,no
1385,0,technician,married,tertiary,no,1,yes,no,cellular,0,feb,1,1,1,1,failure,no
1386,1,admin.,divorced,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1387,1,housemaid,married,primary,no,1,yes,no,cellular,1,jul,1,0,1,1,failure,yes
1388,1,technician,married,secondary,no,0,no,no,cellular,0,may,1,0,1,1,success,yes
1389,1,retired,married,secondary,no,1,no,no,cellular,1,jan,1,0,1,1,failure,yes
1390,0,services,married,secondary,no,1,yes,no,cellular,0,jun,0,1,1,1,failure,no
1391,0,services,single,secondary,no,0,no,no,cellular,0,jan,1,1,1,1,success,yes
1392,0,management,single,tertiary,no,1,yes,no,cellular,1,jul,1,0,1,1,failure,no
1393,1,unemployed,single,secondary,no,1,yes,no,cellular,0,feb,0,0,1,1,other,no
1394,1,management,married,tertiary,no,0,no,no,cellular,1,jan,0,1,1,1,other,no
1395,1,blue-collar,married,secondary,no,1,no,yes,cellular,0,feb,0,1,1,1,failure,no
1396,1,management,divorced,tertiary,no,1,yes,no,cellular,1,may,1,1,1,1,failure,no
1397,1,management,married,tertiary,yes,0,no,yes,cellular,1,jun,0,0,1,1,failure,no
1398,1,technician,married,secondary,no,1,no,no,cellular,1,jun,0,0,1,1,failure,no
1399,0,management,married,tertiary,no,0,yes,no,cellular,0,jul,0,0,1,1,failure,no
1400,0,blue-collar,married,secondary,no,0,no,no,cellular,0,mar,0,1,1,1,failure,no
1401,1,admin.,divorced,secondary,no,0,no,no,cellular,1,nov,0,0,1,1,failure,no
1402,1,technician,divorced,tertiary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
1403,1,management,married,tertiary,no,1,no,no,cellular,0,aug,0,1,1,1,failure,no
1404,1,management,divorced,tertiary,no,1,no,no,cellular,1,nov,0,0,1,1,failure,no
1405,1,unemployed,single,secondary,no,1,no,no,cellular,1,jul,1,1,1,1,failure,no
1406,0,management,married,secondary,no,1,yes,no,cellular,1,jul,1,1,1,1,failure,no
1407,1,technician,married,secondary,no,1,yes,no,cellular,1,nov,1,0,1,1,failure,no
1408,0,management,single,secondary,no,1,no,no,cellular,0,jun,0,0,1,1,failure,no
1409,1,admin.,married,secondary,no,1,no,no,cellular,0,aug,0,1,1,1,failure,no
1410,0,blue-collar,divorced,primary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,yes
1411,0,management,single,tertiary,no,0,no,no,cellular,0,aug,1,1,1,1,failure,no
1412,0,technician,divorced,secondary,no,0,no,no,cellular,1,jul,1,0,1,1,failure,no
1413,1,blue-collar,married,primary,no,1,yes,no,cellular,1,may,0,0,1,1,failure,no
1414,0,admin.,married,secondary,no,0,yes,no,cellular,1,jul,0,1,1,1,failure,no
1415,1,management,married,tertiary,no,0,no,no,cellular,1,jul,0,1,1,1,failure,no
1416,1,technician,married,secondary,no,1,no,no,cellular,1,jul,0,1,1,1,failure,no
1417,0,management,single,secondary,no,0,yes,yes,telephone,0,feb,0,0,1,1,failure,no
1418,1,admin.,married,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1419,0,services,married,secondary,no,1,yes,no,cellular,1,may,0,0,1,1,failure,no
1420,0,management,single,tertiary,no,0,yes,no,cellular,1,jul,0,1,1,1,failure,no
1421,1,services,single,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1422,1,technician,divorced,secondary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
1423,0,blue-collar,married,secondary,no,0,yes,yes,cellular,1,nov,0,0,1,1,failure,no
1424,0,housemaid,married,secondary,no,1,yes,no,cellular,0,feb,0,1,1,1,failure,no
1425,0,technician,married,secondary,no,1,no,no,cellular,1,aug,0,0,1,1,failure,no
1426,0,management,single,tertiary,no,1,no,no,cellular,0,oct,1,1,1,1,success,yes
1427,0,technician,divorced,secondary,no,1,yes,no,cellular,1,nov,1,1,1,1,failure,no
1428,0,admin.,single,secondary,no,1,yes,no,cellular,0,mar,0,1,1,1,failure,no
1429,1,blue-collar,single,primary,no,0,no,no,cellular,0,jul,0,0,1,1,failure,no
1430,1,technician,divorced,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
1431,0,management,single,tertiary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
1432,1,technician,married,primary,no,0,no,no,telephone,1,jan,0,1,1,1,failure,no
1433,1,blue-collar,married,secondary,no,1,no,no,cellular,0,jun,1,1,1,1,failure,no
1434,1,unemployed,married,primary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1435,0,admin.,married,secondary,no,0,no,no,cellular,1,jul,1,1,1,1,failure,no
1436,0,unemployed,divorced,secondary,no,1,no,no,cellular,1,jun,1,1,1,1,failure,no
1437,0,blue-collar,single,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1438,1,blue-collar,married,secondary,no,1,yes,no,telephone,0,jul,0,1,1,1,failure,no
1439,1,retired,married,primary,no,1,no,no,cellular,0,jan,0,0,1,1,failure,no
1440,1,technician,married,secondary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
1441,0,management,divorced,tertiary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
1442,1,management,divorced,tertiary,no,0,yes,no,cellular,0,jul,0,1,1,1,failure,no
1443,1,technician,divorced,secondary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
1444,1,services,married,secondary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
1445,0,technician,single,secondary,no,1,yes,no,cellular,0,may,0,1,1,1,failure,no
1446,0,services,single,secondary,no,1,yes,no,cellular,1,may,1,0,1,1,failure,no
1447,0,unemployed,married,secondary,no,0,yes,no,cellular,1,apr,1,0,1,1,failure,no
1448,0,management,single,tertiary,no,0,no,yes,cellular,0,feb,1,1,1,1,failure,no
1449,0,technician,divorced,secondary,no,1,yes,no,cellular,0,jun,0,1,1,1,failure,no
1450,1,unemployed,married,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
1451,1,housemaid,married,primary,no,0,yes,no,cellular,1,nov,1,0,1,1,failure,no
1452,1,housemaid,married,secondary,no,1,yes,no,cellular,1,jun,1,1,1,1,failure,no
